Ref,Val,Package,PosX,PosY,Rot,Side
"C47","0.1uF","C_0402_1005Metric",92.100000,-84.800000,90.000000,bottom
"C48","0.1uF","C_0402_1005Metric",94.950000,-84.430000,90.000000,bottom
"C49","0.1uF","C_0402_1005Metric",94.700000,-89.350000,-90.000000,bottom
"C50","0.1uF","C_0402_1005Metric",93.750000,-89.550000,-90.000000,bottom
"C51","0.1uF","C_0402_1005Metric",91.200000,-88.450000,180.000000,bottom
"C52","0.1uF","C_0402_1005Metric",96.730000,-85.450000,0.000000,bottom
"C53","0.1uF","C_0402_1005Metric",90.950000,-84.650000,90.000000,bottom
"C56","0.1uF","C_0402_1005Metric",92.650000,-87.080000,-90.000000,bottom
"C57","0.1uF","C_0402_1005Metric",91.700000,-87.080000,-90.000000,bottom
"C58","0.1uF","C_0402_1005Metric",93.050000,-84.430000,90.000000,bottom
"C59","0.1uF","C_0402_1005Metric",94.000000,-84.430000,90.000000,bottom
"C60","0.1uF","C_0402_1005Metric",97.230000,-87.350000,0.000000,bottom
"C61","0.1uF","C_0402_1005Metric",97.220000,-88.300000,0.000000,bottom
"C62","0.1uF","C_0402_1005Metric",96.730000,-84.450000,0.000000,bottom
"C63","0.1uF","C_0402_1005Metric",97.230000,-86.400000,0.000000,bottom
"C64","0.1uF","C_0402_1005Metric",97.230000,-89.250000,0.000000,bottom
"C65","0.1uF","C_0402_1005Metric",97.230000,-90.200000,0.000000,bottom
"C66","0.1uF","C_0402_1005Metric",93.580000,-87.070000,-90.000000,bottom
"C67","0.1uF","C_0402_1005Metric",90.750000,-87.070000,-90.000000,bottom
