Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",179.250000,-140.500000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",161.750000,-143.250000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",230.000000,-97.000000,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",206.500000,-97.250000,-90.000000,top
"D1","1N4007WS","D_SOD-323F",160.720000,-63.062500,-90.000000,top
"D2","1N4007WS","D_SOD-323F",168.720000,-63.062500,-90.000000,top
"D3","1N4007WS","D_SOD-323F",160.720000,-75.062500,-90.000000,top
"D4","1N4007WS","D_SOD-323F",168.690000,-75.062500,-90.000000,top
"D5","1N4007WS","D_SOD-323F",168.750000,-111.062500,-90.000000,top
"D6","1N4007WS","D_SOD-323F",176.720000,-111.062500,-90.000000,top
"D7","1N4007WS","D_SOD-323F",168.720000,-99.062500,-90.000000,top
"D8","1N4007WS","D_SOD-323F",176.720000,-99.062500,-90.000000,top
"D9","1N4007WS","D_SOD-323F",192.720000,-63.062500,-90.000000,top
"D10","1N4007WS","D_SOD-323F",192.720000,-75.062500,-90.000000,top
"D11","1N4007WS","D_SOD-323F",184.720000,-75.062500,-90.000000,top
"D12","1N4007WS","D_SOD-323F",184.720000,-63.062500,-90.000000,top
"D13","1N4007WS","D_SOD-323F",198.720000,-98.062500,-90.000000,top
"D14","1N4007WS","D_SOD-323F",198.720000,-110.062500,-90.000000,top
"D15","1N4007WS","D_SOD-323F",190.720000,-110.062500,-90.000000,top
"D16","1N4007WS","D_SOD-323F",190.720000,-98.062500,-90.000000,top
"Q1","BSS138W","SOT-323_SC-70",173.500000,-145.500000,180.000000,top
"Q2","MMBT3906","SOT-23",157.970000,-67.062500,-90.000000,top
"Q3","AO3401A","SOT-23",158.000000,-63.000000,90.000000,top
"Q4","MMBT3906","SOT-23",165.970000,-67.062500,-90.000000,top
"Q5","AO3401A","SOT-23",166.000000,-63.000000,90.000000,top
"Q6","MMBT3906","SOT-23",157.970000,-79.062500,-90.000000,top
"Q7","AO3401A","SOT-23",158.000000,-75.000000,90.000000,top
"Q8","MMBT3906","SOT-23",165.940000,-79.062500,-90.000000,top
"Q9","AO3401A","SOT-23",165.970000,-75.000000,90.000000,top
"Q10","MMBT3906","SOT-23",166.000000,-115.062500,-90.000000,top
"Q11","AO3401A","SOT-23",166.030000,-111.000000,90.000000,top
"Q12","MMBT3906","SOT-23",173.970000,-115.062500,-90.000000,top
"Q13","AO3401A","SOT-23",174.000000,-111.000000,90.000000,top
"Q14","MMBT3906","SOT-23",165.970001,-103.062500,-90.000000,top
"Q15","AO3401A","SOT-23",166.000000,-99.000000,90.000000,top
"Q16","MMBT3906","SOT-23",173.970000,-103.062500,-90.000000,top
"Q17","AO3401A","SOT-23",174.000000,-99.000000,90.000000,top
"Q18","MMBT3906","SOT-23",189.970000,-67.062500,-90.000000,top
"Q19","AO3401A","SOT-23",190.000000,-63.000000,90.000000,top
"Q20","MMBT3906","SOT-23",189.970000,-79.062500,-90.000000,top
"Q21","AO3401A","SOT-23",190.000000,-75.000000,90.000000,top
"Q22","MMBT3906","SOT-23",181.970000,-79.062500,-90.000000,top
"Q23","AO3401A","SOT-23",182.000000,-75.000000,90.000000,top
"Q24","MMBT3906","SOT-23",181.970000,-67.062500,-90.000000,top
"Q25","AO3401A","SOT-23",182.000000,-63.000000,90.000000,top
"Q26","MMBT3906","SOT-23",195.970000,-102.062500,-90.000000,top
"Q27","AO3401A","SOT-23",196.000000,-98.000000,90.000000,top
"Q28","MMBT3906","SOT-23",195.970000,-114.062500,-90.000000,top
"Q29","AO3401A","SOT-23",196.000000,-110.000000,90.000000,top
"Q30","MMBT3906","SOT-23",187.970000,-114.062500,-90.000000,top
"Q31","AO3401A","SOT-23",188.000000,-110.000000,90.000000,top
