Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",184.600000,-113.625000,-90.000000,top
"C2","0.1uF","C_0603_1608Metric",186.700000,-85.800000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",172.700000,-85.800000,-90.000000,top
"C4","3.3nF","C_0603_1608Metric",164.600000,-86.200000,-90.000000,top
"C5","10uF","C_0603_1608Metric",156.400000,-82.400000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",156.400000,-80.800000,180.000000,top
"C7","10nF","C_0603_1608Metric",157.200000,-90.600000,90.000000,top
"C8","3.3nF","C_0603_1608Metric",168.200000,-76.600000,-90.000000,top
"C9","10nF","C_0603_1608Metric",158.800000,-78.425000,-90.000000,top
"C13","0.1uF","C_0603_1608Metric",121.500000,-83.000000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",107.500000,-83.000000,-90.000000,top
"C15","0.1uF","C_0603_1608Metric",114.500000,-83.000000,-90.000000,top
"C16","10uF","C_0805_2012Metric",129.500000,-62.500000,90.000000,top
"D1","BSD5C031V","D_SOD-523",182.805000,-113.550000,-90.000000,top
"D2","SMAJ10A","D_SMA",160.200000,-65.800000,180.000000,top
"D4","SMAJ10A","D_SMA",160.200000,-61.800000,180.000000,top
"D7","BSD5C031V","D_SOD-523",127.500000,-76.050000,90.000000,top
"D8","PESD5V0S1BBN","D_SOD-523",129.700000,-65.850000,90.000000,top
"FB1","FB_100R_3A","L_0603_1608Metric",156.400000,-79.200000,0.000000,top
"FB4","FB_100R_3A","L_0603_1608Metric",127.500000,-62.500000,90.000000,top
"R1","1K","R_0603_1608Metric",188.800000,-122.025000,-90.000000,top
"R2","10R","R_0603_1608Metric",186.200000,-122.025000,90.000000,top
"R3","10R","R_0603_1608Metric",190.400000,-122.025000,90.000000,top
"R4","10R","R_0603_1608Metric",188.300000,-94.600000,90.000000,top
"R5","10R","R_0603_1608Metric",178.100000,-94.200000,90.000000,top
"R6","1K","R_0603_1608Metric",190.600000,-110.025000,90.000000,top
"R7","120R","R_0603_1608Metric",187.800000,-109.225000,0.000000,top
"R8","1K","R_0603_1608Metric",185.200000,-110.025000,-90.000000,top
"R9","1K","R_0603_1608Metric",192.800000,-82.200000,90.000000,top
"R10","120R","R_0603_1608Metric",190.100000,-81.400000,0.000000,top
"R11","1K","R_0603_1608Metric",187.400000,-82.200000,-90.000000,top
"R12","10R","R_0603_1608Metric",188.665000,-106.500000,90.000000,top
"R13","10R","R_0603_1608Metric",186.865000,-106.500000,90.000000,top
"R14","10R","R_0603_1608Metric",190.900000,-78.600000,90.000000,top
"R15","10R","R_0603_1608Metric",189.100000,-78.600000,90.000000,top
"R16","1K","R_0603_1608Metric",178.700000,-82.225000,90.000000,top
"R17","120R","R_0603_1608Metric",176.100000,-81.400000,0.000000,top
"R18","1K","R_0603_1608Metric",172.900000,-82.200000,-90.000000,top
"R19","10R","R_0603_1608Metric",176.900000,-78.600000,90.000000,top
"R20","10R","R_0603_1608Metric",175.100000,-78.600000,90.000000,top
"R21","10K","R_0603_1608Metric",155.600000,-92.200000,90.000000,top
"R22","10K","R_0603_1608Metric",160.400000,-90.600000,90.000000,top
"R23","10K","R_0603_1608Metric",158.800000,-90.600000,-90.000000,top
"R24","10K","R_0603_1608Metric",162.000000,-90.600000,-90.000000,top
"R25","100K","R_0603_1608Metric",155.600000,-88.975000,90.000000,top
"R26","50R","R_0603_1608Metric",165.600000,-62.000000,0.000000,top
"R27","10K","R_0603_1608Metric",166.600000,-79.800000,90.000000,top
"R28","100K","R_0603_1608Metric",166.600000,-76.600000,90.000000,top
"R29","10K","R_0603_1608Metric",163.600000,-78.400000,-90.000000,top
"R30","10K","R_0603_1608Metric",162.000000,-78.425000,-90.000000,top
"R31","10K","R_0603_1608Metric",160.400000,-78.425000,90.000000,top
"R32","50R","R_0603_1608Metric",165.600000,-65.600000,0.000000,top
"R49","1K","R_0603_1608Metric",120.500000,-79.500000,-90.000000,top
"R50","120R","R_0603_1608Metric",118.000000,-80.500000,180.000000,top
"R51","1K","R_0603_1608Metric",115.500000,-79.500000,90.000000,top
"R52","1K","R_0603_1608Metric",127.500000,-79.500000,-90.000000,top
"R53","120R","R_0603_1608Metric",125.000000,-80.500000,180.000000,top
"R54","1K","R_0603_1608Metric",122.500000,-79.500000,90.000000,top
"R55","1K","R_0603_1608Metric",113.500000,-79.500000,-90.000000,top
"R56","120R","R_0603_1608Metric",111.000000,-80.000000,0.000000,top
"R57","1K","R_0603_1608Metric",108.500000,-79.500000,90.000000,top
"R58","10R","R_0603_1608Metric",111.000000,-70.000000,90.000000,top
"R59","10R","R_0603_1608Metric",109.400000,-69.400000,90.000000,top
"R60","10R","R_0603_1608Metric",118.500000,-70.000000,90.000000,top
"R61","10R","R_0603_1608Metric",126.000000,-70.000000,90.000000,top
"R62","10R","R_0603_1608Metric",124.500000,-70.000000,90.000000,top
"R63","10R","R_0603_1608Metric",117.000000,-70.000000,90.000000,top
"R64","0R","R_0603_1608Metric",127.750000,-59.250000,-90.000000,top
"U1","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",188.100000,-115.625000,90.000000,top
"U2","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",190.200000,-87.800000,90.000000,top
"U3","CS48505S","SOIC-8_3.9x4.9mm_P1.27mm",176.200000,-87.800000,90.000000,top
"U4","USBLC6-4SC6","SOT-23-6",195.002500,-109.350000,180.000000,top
"U5","USBLC6-4SC6","SOT-23-6",182.300000,-81.800000,0.000000,top
"U6","LM358DT","SO-8_3.9x4.9mm_P1.27mm",161.000000,-85.000000,90.000000,top
