Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",117.500000,-136.000000,180.000000,top
"C2","10uF","C_0805_2012Metric",125.450000,-136.000000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",153.137500,-83.500000,-90.000000,top
"C4","0.1uF","C_0603_1608Metric",160.750000,-83.500000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",130.750000,-83.500000,-90.000000,top
"C6","0.1uF","C_0603_1608Metric",140.500000,-83.500000,-90.000000,top
"C7","0.1uF","C_0603_1608Metric",109.250000,-83.750000,-90.000000,top
"C8","0.1uF","C_0603_1608Metric",120.750000,-83.500000,-90.000000,top
"C9","0.1uF","C_0603_1608Metric",89.000000,-83.750000,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",99.250000,-83.750000,-90.000000,top
"D1","BZT52C10S","D_SOD-323",118.000000,-143.500000,180.000000,top
"D2","SMF24A","D_SOD-123F",118.000000,-133.750000,180.000000,top
"D3","BZT52C10S","D_SOD-323",156.500000,-95.500000,180.000000,top
"D4","SMF24A","D_SOD-123F",156.250000,-88.750000,0.000000,top
"D6","BZT52C10S","D_SOD-323",138.250000,-95.500000,180.000000,top
"D7","SMF24A","D_SOD-123F",138.000000,-88.750000,0.000000,top
"D9","BZT52C10S","D_SOD-323",114.500000,-95.500000,180.000000,top
"D10","SMF24A","D_SOD-123F",114.750000,-88.750000,0.000000,top
"D12","BZT52C10S","D_SOD-323",92.500000,-95.500000,180.000000,top
"D13","SMF24A","D_SOD-123F",92.500000,-88.750000,0.000000,top
"F1","BSMD1206-100-24V","Fuse_1206_3216Metric",151.000000,-88.750000,180.000000,top
"F2","BSMD1206-100-24V","Fuse_1206_3216Metric",132.750000,-88.750000,180.000000,top
"F3","BSMD1206-100-24V","Fuse_1206_3216Metric",109.000000,-88.750000,180.000000,top
"F4","BSMD1206-100-24V","Fuse_1206_3216Metric",87.250000,-88.750000,180.000000,top
"FB1","FB_100R_3A","L_0603_1608Metric",151.387500,-83.500000,90.000000,top
"FB2","FB_100R_3A","L_0603_1608Metric",129.000000,-83.500000,90.000000,top
"FB3","FB_100R_3A","L_0603_1608Metric",107.500000,-83.750000,90.000000,top
"FB4","FB_100R_3A","L_0603_1608Metric",87.250000,-83.750000,90.000000,top
